invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100913,C229817,Female,41,Shoes,4,2400.68,Cash,26-08-2022,"Viaport Outlet"
I100914,C299493,Female,22,"Food & Beverage",1,5.23,"Credit Card",17-09-2022,Kanyon
I100919,C189282,Female,31,Cosmetics,1,40.66,"Credit Card",04-05-2021,Kanyon
I100921,C323178,Female,53,Cosmetics,4,162.64,"Credit Card",25-08-2021,Metrocity
I100922,C185007,Female,31,Cosmetics,3,121.98,Cash,19-12-2021,"Mall of Istanbul"
I100923,C139812,Female,41,"Food & Beverage",1,5.23,"Credit Card",08-04-2022,"Istinye Park"
I100929,C224506,Male,59,Cosmetics,1,40.66,"Credit Card",12-02-2021,"Mall of Istanbul"
I100932,C204475,Male,43,Clothing,2,600.16,Cash,28-10-2022,"Mall of Istanbul"
I100936,C331442,Female,35,Clothing,1,300.08,"Debit Card",21-06-2021,"Mall of Istanbul"
I100953,C250015,Female,46,Shoes,4,2400.68,Cash,25-02-2022,"Istinye Park"
I100960,C156642,Female,57,Books,3,45.45,Cash,31-01-2023,Kanyon
I100961,C157517,Female,47,Clothing,2,600.16,Cash,27-04-2022,"Forum Istanbul"
I100963,C500323,Female,35,Books,1,15.15,"Debit Card",17-06-2021,"Cevahir AVM"
I100964,C253827,Male,29,Cosmetics,4,162.64,Cash,19-07-2021,"Mall of Istanbul"
I100965,C336119,Female,63,Shoes,4,2400.68,Cash,25-06-2021,"Emaar Square Mall"
I100969,C242347,Male,51,Clothing,1,300.08,"Credit Card",09-06-2021,"Istinye Park"
I100977,C221903,Female,27,Toys,3,107.52,"Debit Card",05-09-2022,Metrocity
I100978,C172330,Female,24,Cosmetics,5,203.30,Cash,18-06-2022,Metrocity
I100981,C116368,Female,33,Clothing,2,600.16,"Credit Card",29-01-2023,"Metropol AVM"
I100983,C203462,Female,67,Clothing,1,300.08,"Credit Card",29-05-2022,"Zorlu Center"
I100988,C202289,Male,37,Clothing,2,600.16,Cash,27-09-2022,"Istinye Park"
I100991,C326660,Male,29,Shoes,5,3000.85,"Debit Card",07-03-2021,"Metropol AVM"
I100998,C253884,Male,24,Toys,3,107.52,"Debit Card",10-09-2021,Kanyon
I101008,C314812,Male,62,Shoes,3,1800.51,Cash,09-04-2022,"Istinye Park"
I101010,C766878,Female,56,Clothing,2,600.16,"Debit Card",07-03-2022,"Emaar Square Mall"
I101017,C124932,Female,40,Shoes,5,3000.85,Cash,24-07-2022,"Mall of Istanbul"
I101018,C266367,Female,26,"Food & Beverage",1,5.23,"Debit Card",20-12-2022,"Forum Istanbul"
I101022,C237146,Female,25,Toys,3,107.52,"Credit Card",21-09-2021,Kanyon
I101031,C215753,Female,52,Cosmetics,4,162.64,"Credit Card",18-11-2021,"Metropol AVM"
I101034,C722304,Male,19,Toys,5,179.20,Cash,26-02-2022,Metrocity
I101037,C216533,Female,30,Souvenir,2,23.46,Cash,07-09-2021,"Forum Istanbul"
I101038,C144914,Female,42,Technology,2,2100.00,"Debit Card",02-07-2021,"Cevahir AVM"
I101043,C289681,Female,32,Clothing,1,300.08,"Credit Card",01-12-2022,"Cevahir AVM"
I101048,C186345,Male,19,Clothing,2,600.16,Cash,06-09-2022,Metrocity
I101051,C722098,Male,59,Shoes,3,1800.51,"Credit Card",13-06-2021,"Mall of Istanbul"
I101052,C844541,Male,66,Technology,3,3150.00,"Debit Card",25-06-2022,Kanyon
I101059,C236719,Female,44,Clothing,5,1500.40,Cash,25-08-2021,"Mall of Istanbul"
I101060,C131806,Female,54,Clothing,2,600.16,"Credit Card",16-11-2021,Metrocity
I101070,C330130,Female,18,Technology,1,1050.00,"Credit Card",21-04-2022,Kanyon
I101083,C165321,Female,57,Clothing,3,900.24,"Debit Card",04-02-2021,Kanyon
I101084,C943266,Female,26,"Food & Beverage",1,5.23,Cash,18-10-2022,Kanyon
I101086,C168165,Female,45,Shoes,4,2400.68,"Debit Card",12-02-2022,Kanyon
I101088,C824542,Female,28,Toys,5,179.20,"Debit Card",01-01-2021,Kanyon
I101089,C392188,Male,39,Clothing,5,1500.40,"Credit Card",06-05-2021,"Mall of Istanbul"
I101093,C301696,Female,43,Clothing,4,1200.32,Cash,05-07-2021,"Mall of Istanbul"
I101103,C194266,Female,45,Shoes,4,2400.68,Cash,06-10-2021,"Forum Istanbul"
I101113,C315161,Female,64,Shoes,3,1800.51,Cash,12-04-2021,"Forum Istanbul"
I101115,C540954,Female,30,Cosmetics,4,162.64,"Credit Card",01-08-2021,Metrocity
I101130,C298295,Male,45,"Food & Beverage",3,15.69,Cash,10-09-2022,Kanyon
I101131,C329519,Female,22,Cosmetics,5,203.30,"Credit Card",22-08-2022,"Metropol AVM"
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22-01-2022,Kanyon
I101135,C689947,Male,48,Clothing,5,1500.40,"Credit Card",13-01-2021,Kanyon
I101140,C122069,Female,20,Clothing,5,1500.40,"Credit Card",26-07-2022,"Forum Istanbul"
I101143,C293655,Male,46,Souvenir,5,58.65,"Debit Card",25-02-2022,"Mall of Istanbul"
I101146,C303865,Male,26,"Food & Beverage",2,10.46,"Credit Card",25-12-2022,"Viaport Outlet"
I101148,C680169,Female,26,Cosmetics,4,162.64,Cash,21-04-2022,"Cevahir AVM"
I101152,C276049,Male,30,Clothing,3,900.24,Cash,12-11-2021,Kanyon
I101154,C453116,Male,61,Clothing,4,1200.32,"Credit Card",05-07-2021,Metrocity
I101155,C114131,Female,58,Clothing,5,1500.40,Cash,08-06-2022,"Metropol AVM"
I101156,C251408,Female,63,Clothing,2,600.16,Cash,07-12-2021,"Zorlu Center"
I101165,C325003,Female,34,Clothing,1,300.08,"Debit Card",21-08-2022,Kanyon
I101167,C492992,Female,39,"Food & Beverage",5,26.15,"Credit Card",31-01-2022,"Istinye Park"
I101171,C786797,Female,64,Clothing,3,900.24,Cash,23-09-2021,"Mall of Istanbul"
I101176,C195529,Female,31,"Food & Beverage",1,5.23,Cash,17-06-2021,"Istinye Park"
I101181,C167199,Male,25,"Food & Beverage",1,5.23,Cash,22-12-2022,"Istinye Park"
I101183,C274709,Female,41,Cosmetics,1,40.66,"Debit Card",10-03-2022,"Metropol AVM"
I101185,C269338,Female,60,Cosmetics,3,121.98,"Credit Card",20-05-2022,"Istinye Park"
I101189,C301407,Male,68,Souvenir,2,23.46,Cash,11-05-2022,Metrocity
I101190,C115198,Female,66,"Food & Beverage",1,5.23,"Credit Card",02-04-2021,"Istinye Park"
I101192,C298571,Male,66,Toys,5,179.20,Cash,15-11-2021,"Forum Istanbul"
I101193,C298074,Female,69,"Food & Beverage",5,26.15,"Credit Card",04-05-2021,"Viaport Outlet"
I101201,C296680,Male,51,Cosmetics,2,81.32,"Credit Card",20-06-2022,"Forum Istanbul"
I101204,C147656,Female,42,Books,4,60.60,Cash,06-08-2022,"Mall of Istanbul"
I101210,C316485,Female,20,Clothing,5,1500.40,"Credit Card",04-07-2022,"Zorlu Center"
I101214,C229296,Female,40,Clothing,2,600.16,"Credit Card",11-03-2021,"Viaport Outlet"
I101219,C296170,Female,52,Books,1,15.15,"Credit Card",30-04-2022,Kanyon
I101220,C322664,Male,67,Souvenir,4,46.92,Cash,06-10-2022,"Metropol AVM"
I101229,C256902,Female,19,"Food & Beverage",3,15.69,Cash,05-07-2022,Kanyon
I101237,C239679,Female,65,Clothing,3,900.24,"Credit Card",10-02-2021,"Mall of Istanbul"
I101239,C362001,Female,25,Technology,2,2100.00,"Credit Card",14-03-2021,Metrocity
I101247,C178321,Male,35,Clothing,3,900.24,"Credit Card",25-02-2021,"Mall of Istanbul"
I101252,C998123,Female,23,Toys,2,71.68,"Credit Card",21-01-2021,"Forum Istanbul"
I101255,C164171,Female,66,"Food & Beverage",2,10.46,Cash,11-12-2021,"Cevahir AVM"
I101256,C129775,Male,50,Clothing,2,600.16,"Credit Card",26-06-2022,"Mall of Istanbul"
I101263,C268120,Male,69,"Food & Beverage",4,20.92,"Credit Card",12-12-2022,"Mall of Istanbul"
I101279,C237894,Female,48,Technology,3,3150.00,Cash,22-06-2022,"Metropol AVM"
I101280,C663744,Female,39,Clothing,2,600.16,"Credit Card",26-03-2022,"Mall of Istanbul"
I101281,C177781,Male,50,Clothing,4,1200.32,"Debit Card",02-03-2022,"Emaar Square Mall"
I101282,C317379,Female,50,Clothing,3,900.24,Cash,30-06-2022,"Viaport Outlet"
I101283,C294350,Female,48,"Food & Beverage",1,5.23,"Credit Card",19-06-2022,Metrocity
I101288,C476777,Male,36,"Food & Beverage",1,5.23,Cash,24-07-2022,Kanyon
I101290,C208569,Female,31,Souvenir,4,46.92,"Credit Card",13-02-2023,"Mall of Istanbul"
I101296,C132787,Female,41,Cosmetics,2,81.32,"Debit Card",14-01-2023,"Istinye Park"
I101301,C211329,Male,39,"Food & Beverage",5,26.15,"Credit Card",12-12-2022,Kanyon
I101305,C131548,Female,66,Toys,3,107.52,Cash,07-03-2022,"Forum Istanbul"
I101306,C162468,Female,42,Clothing,3,900.24,"Debit Card",21-05-2022,Kanyon
I101308,C551127,Male,18,Shoes,2,1200.34,"Credit Card",12-03-2021,"Mall of Istanbul"
I101312,C261678,Male,50,Clothing,5,1500.40,Cash,29-09-2021,"Mall of Istanbul"
I101313,C463777,Female,62,Souvenir,1,11.73,"Credit Card",09-02-2021,Kanyon
I101314,C995203,Male,20,"Food & Beverage",3,15.69,Cash,01-05-2022,Kanyon
I101316,C100544,Female,40,Cosmetics,3,121.98,"Debit Card",24-06-2022,Metrocity
I101318,C156439,Female,27,Clothing,1,300.08,"Debit Card",06-03-2021,Metrocity
I101320,C264902,Male,18,Books,3,45.45,Cash,12-04-2022,"Mall of Istanbul"
I101325,C101956,Female,27,Souvenir,1,11.73,Cash,25-02-2021,"Mall of Istanbul"
I101328,C468550,Male,52,Clothing,2,600.16,Cash,24-07-2022,"Viaport Outlet"
I101339,C162091,Female,51,Clothing,4,1200.32,"Credit Card",21-04-2021,"Forum Istanbul"
I101343,C180911,Female,50,Toys,4,143.36,"Debit Card",02-06-2021,"Viaport Outlet"
I101344,C107378,Male,54,Shoes,4,2400.68,"Credit Card",05-09-2022,Kanyon
I101347,C280063,Female,58,Toys,2,71.68,"Credit Card",26-09-2021,Kanyon
I101348,C126235,Female,67,Clothing,4,1200.32,"Credit Card",31-08-2022,"Mall of Istanbul"
I101351,C726291,Female,52,Cosmetics,4,162.64,Cash,10-06-2021,"Viaport Outlet"
I101352,C548721,Female,26,Cosmetics,2,81.32,Cash,22-01-2021,"Metropol AVM"
I101353,C246402,Female,24,Cosmetics,2,81.32,"Debit Card",25-03-2022,"Istinye Park"
I101354,C235189,Female,65,Cosmetics,2,81.32,"Debit Card",12-09-2022,"Emaar Square Mall"
I101356,C227436,Male,38,Cosmetics,1,40.66,Cash,23-03-2022,Metrocity
I101359,C269676,Male,42,Shoes,3,1800.51,Cash,08-12-2021,"Metropol AVM"
I101360,C540352,Female,39,Shoes,5,3000.85,"Credit Card",11-07-2021,"Mall of Istanbul"
I101361,C184579,Male,39,Clothing,4,1200.32,Cash,29-05-2021,"Istinye Park"
I101363,C182070,Male,18,Clothing,2,600.16,"Credit Card",26-11-2022,Metrocity
I101366,C927671,Female,47,Clothing,2,600.16,"Credit Card",19-10-2021,Kanyon
I101368,C236364,Male,60,Books,4,60.60,"Credit Card",07-02-2021,"Istinye Park"
I101370,C313925,Female,59,Toys,5,179.20,"Credit Card",22-10-2021,Kanyon
I101372,C180019,Female,22,Toys,5,179.20,"Credit Card",05-06-2021,"Forum Istanbul"
I101378,C241757,Female,47,Books,3,45.45,Cash,30-12-2021,Metrocity
I101379,C275478,Female,61,Clothing,1,300.08,Cash,16-01-2023,Kanyon
I101383,C151482,Female,29,Cosmetics,5,203.30,"Credit Card",25-04-2022,Metrocity
I101390,C314514,Female,35,Cosmetics,3,121.98,Cash,08-09-2021,"Mall of Istanbul"
I101393,C109321,Female,55,"Food & Beverage",3,15.69,"Debit Card",31-07-2022,Kanyon
I101394,C321439,Female,24,Books,1,15.15,Cash,07-06-2022,"Metropol AVM"
I101398,C152504,Female,27,Cosmetics,2,81.32,"Credit Card",14-09-2022,"Mall of Istanbul"
I101407,C323409,Female,32,Clothing,5,1500.40,Cash,16-07-2022,"Viaport Outlet"
I101409,C431191,Female,21,Clothing,3,900.24,"Debit Card",10-11-2022,Kanyon
I101410,C177708,Female,63,Clothing,3,900.24,Cash,13-06-2022,"Istinye Park"
I101414,C104129,Female,20,Clothing,4,1200.32,Cash,12-08-2021,Metrocity
I101418,C127683,Female,50,Clothing,3,900.24,"Credit Card",27-02-2021,"Emaar Square Mall"
I101419,C502529,Male,54,Toys,2,71.68,"Credit Card",11-03-2021,"Istinye Park"
I101423,C666388,Male,52,Books,3,45.45,Cash,03-02-2023,"Viaport Outlet"
I101426,C262766,Female,67,Cosmetics,3,121.98,Cash,29-04-2021,Kanyon
I101428,C197332,Female,21,Clothing,5,1500.40,"Debit Card",08-07-2021,"Mall of Istanbul"
I101429,C148693,Female,50,Books,4,60.60,"Credit Card",17-04-2021,"Mall of Istanbul"
I101433,C208860,Male,40,"Food & Beverage",3,15.69,"Credit Card",10-08-2022,"Mall of Istanbul"
I101434,C310631,Male,30,Books,5,75.75,Cash,29-11-2021,"Mall of Istanbul"
I101435,C245633,Female,29,Toys,2,71.68,"Credit Card",04-08-2022,"Metropol AVM"
I101442,C837574,Female,29,Cosmetics,4,162.64,"Credit Card",05-09-2021,"Mall of Istanbul"
I101444,C335486,Female,51,Souvenir,5,58.65,"Debit Card",17-12-2021,"Emaar Square Mall"
I101445,C171342,Female,18,Cosmetics,4,162.64,"Credit Card",02-05-2022,Kanyon
I101449,C220137,Male,33,Cosmetics,4,162.64,"Credit Card",05-12-2021,Metrocity
I101452,C231594,Male,45,Clothing,2,600.16,"Credit Card",15-10-2021,"Emaar Square Mall"
I101453,C666613,Female,65,Cosmetics,1,40.66,"Debit Card",09-04-2021,Kanyon
I101454,C118691,Female,53,Clothing,3,900.24,Cash,20-04-2022,"Istinye Park"
I101455,C154531,Male,69,Technology,3,3150.00,Cash,28-02-2022,Kanyon
I101456,C283434,Male,36,Technology,4,4200.00,"Credit Card",26-12-2022,Kanyon
I101458,C113888,Female,35,Clothing,1,300.08,Cash,21-07-2022,Metrocity
I101460,C247762,Female,45,Clothing,5,1500.40,Cash,11-01-2022,"Zorlu Center"
I101465,C250819,Female,23,Clothing,2,600.16,"Credit Card",16-06-2021,Metrocity
I101466,C314331,Female,36,Clothing,2,600.16,Cash,29-09-2022,"Emaar Square Mall"
I101467,C155383,Female,54,Toys,4,143.36,Cash,04-07-2022,"Metropol AVM"
I101472,C216194,Female,45,Clothing,4,1200.32,Cash,06-07-2021,Metrocity
I101475,C204569,Female,54,Souvenir,3,35.19,"Credit Card",04-08-2021,Kanyon
I101476,C295108,Female,59,Toys,2,71.68,Cash,06-05-2022,"Istinye Park"
I101480,C145217,Female,29,Books,1,15.15,"Credit Card",15-01-2023,Metrocity
I101483,C670088,Female,54,Books,2,30.30,Cash,14-01-2022,"Viaport Outlet"
I101489,C287411,Male,56,Toys,1,35.84,"Credit Card",14-03-2022,"Zorlu Center"
I101498,C431849,Female,52,Clothing,2,600.16,"Debit Card",30-08-2021,"Mall of Istanbul"
I101499,C208394,Male,52,Clothing,4,1200.32,Cash,16-06-2022,Kanyon
I101509,C416542,Female,48,"Food & Beverage",2,10.46,Cash,23-04-2022,"Istinye Park"
I101511,C286261,Male,58,"Food & Beverage",4,20.92,"Credit Card",06-10-2021,Kanyon
I101512,C657278,Female,43,Clothing,4,1200.32,Cash,30-07-2021,Kanyon
I101518,C107937,Female,37,Toys,4,143.36,Cash,09-04-2022,"Mall of Istanbul"
I101520,C260507,Female,32,Clothing,1,300.08,"Debit Card",12-03-2021,Kanyon
I101521,C234258,Male,54,Clothing,5,1500.40,"Debit Card",28-03-2022,"Forum Istanbul"
I101525,C616099,Female,69,Clothing,3,900.24,Cash,22-10-2021,"Zorlu Center"
I101526,C332894,Female,24,Clothing,5,1500.40,Cash,18-08-2022,"Forum Istanbul"
I101528,C149902,Female,60,Technology,5,5250.00,Cash,19-05-2022,"Zorlu Center"
I101529,C203227,Female,20,Toys,5,179.20,"Debit Card",17-01-2021,Metrocity
I101532,C128002,Male,56,Toys,3,107.52,Cash,01-07-2022,"Cevahir AVM"
I101535,C219503,Female,39,Cosmetics,4,162.64,"Credit Card",01-03-2023,"Istinye Park"
I101536,C323102,Female,66,Toys,2,71.68,"Credit Card",07-12-2022,"Emaar Square Mall"
I101537,C168070,Female,26,Souvenir,1,11.73,"Credit Card",06-11-2021,"Cevahir AVM"
I101541,C210572,Female,58,Clothing,3,900.24,"Debit Card",13-12-2021,"Istinye Park"
I101544,C208879,Female,48,Cosmetics,2,81.32,"Credit Card",13-02-2021,Metrocity
I101546,C121708,Female,45,Shoes,2,1200.34,"Credit Card",18-02-2023,Metrocity
I101549,C311614,Female,45,Toys,3,107.52,"Debit Card",20-07-2021,"Zorlu Center"
I101551,C164448,Female,45,Clothing,2,600.16,"Debit Card",27-12-2021,Metrocity
I101554,C273482,Female,41,Clothing,2,600.16,Cash,01-08-2021,"Emaar Square Mall"
I101555,C758873,Female,25,Cosmetics,5,203.30,"Debit Card",05-06-2022,Kanyon
I101569,C148240,Male,21,Toys,2,71.68,"Credit Card",14-07-2022,"Emaar Square Mall"
I101572,C210353,Female,50,Clothing,4,1200.32,Cash,06-11-2022,"Metropol AVM"
I101573,C150669,Female,57,Cosmetics,4,162.64,Cash,28-07-2022,"Cevahir AVM"
I101574,C178897,Female,32,"Food & Beverage",2,10.46,"Credit Card",02-02-2023,Kanyon
I101576,C262719,Male,58,Clothing,1,300.08,"Debit Card",12-08-2021,Kanyon
I101578,C302346,Female,61,Books,3,45.45,Cash,04-03-2023,Metrocity
I101580,C266174,Male,47,Clothing,4,1200.32,"Debit Card",03-04-2021,Kanyon
I101585,C157226,Female,65,Books,3,45.45,"Credit Card",26-09-2022,"Mall of Istanbul"
I101587,C434876,Female,53,Technology,5,5250.00,Cash,11-01-2022,"Metropol AVM"
I101588,C769285,Female,63,Clothing,3,900.24,Cash,17-05-2021,Kanyon
I101592,C228966,Female,54,Books,1,15.15,"Credit Card",25-10-2021,Kanyon
I101594,C117752,Female,50,Shoes,3,1800.51,Cash,08-08-2021,"Cevahir AVM"
I101596,C309263,Female,43,Books,5,75.75,Cash,30-08-2021,Kanyon
I101598,C338372,Female,59,Cosmetics,2,81.32,"Credit Card",30-07-2021,Metrocity
I101603,C309591,Male,67,Toys,2,71.68,Cash,05-10-2021,Kanyon
I101605,C756859,Female,30,Clothing,2,600.16,Cash,25-01-2023,"Mall of Istanbul"
I101606,C279630,Male,25,Clothing,1,300.08,Cash,28-11-2021,"Mall of Istanbul"
I101612,C185174,Male,39,Toys,3,107.52,"Credit Card",28-12-2022,Metrocity
I101618,C203219,Male,24,Clothing,1,300.08,Cash,10-01-2021,Kanyon
I101620,C104200,Female,69,Clothing,4,1200.32,"Debit Card",12-08-2021,Kanyon
I101621,C325188,Female,18,Souvenir,4,46.92,Cash,19-03-2022,Kanyon
I101624,C115743,Male,62,Cosmetics,3,121.98,Cash,15-10-2021,Kanyon
I101627,C144374,Male,59,"Food & Beverage",2,10.46,"Debit Card",26-08-2022,"Zorlu Center"
I101629,C102585,Male,41,Cosmetics,3,121.98,Cash,25-09-2021,"Mall of Istanbul"
I101634,C318714,Female,19,Clothing,1,300.08,"Debit Card",11-03-2022,Metrocity
I101635,C695700,Female,18,Toys,5,179.20,Cash,03-06-2022,"Forum Istanbul"
I101638,C217867,Female,27,Technology,2,2100.00,Cash,22-07-2022,Metrocity
I101641,C483550,Male,37,Toys,3,107.52,"Credit Card",06-12-2021,"Cevahir AVM"
I101642,C296856,Female,39,Clothing,4,1200.32,"Debit Card",22-10-2021,"Mall of Istanbul"
I101645,C683241,Female,63,Clothing,4,1200.32,"Credit Card",10-11-2022,Metrocity
I101649,C801987,Male,41,Technology,3,3150.00,Cash,12-11-2021,"Metropol AVM"
I101653,C185129,Female,68,Souvenir,2,23.46,Cash,10-04-2021,Kanyon
I101658,C254846,Female,63,Cosmetics,1,40.66,"Credit Card",18-09-2021,"Mall of Istanbul"
I101659,C197249,Female,67,Shoes,5,3000.85,Cash,29-11-2022,"Viaport Outlet"
I101661,C156543,Female,45,Clothing,4,1200.32,Cash,06-08-2022,"Emaar Square Mall"
I101667,C142998,Female,41,Souvenir,5,58.65,"Credit Card",14-09-2022,Metrocity
I101669,C308898,Male,32,Toys,3,107.52,"Credit Card",01-08-2022,"Viaport Outlet"
I101670,C584201,Female,34,Clothing,1,300.08,Cash,02-02-2021,"Metropol AVM"
I101672,C976493,Male,21,Books,2,30.30,"Credit Card",23-01-2021,Metrocity
I101674,C284838,Male,22,Cosmetics,1,40.66,"Credit Card",12-06-2021,"Viaport Outlet"
I101675,C302289,Female,20,Cosmetics,3,121.98,"Debit Card",06-10-2022,Metrocity
I101676,C179567,Female,39,Clothing,2,600.16,Cash,10-02-2023,Kanyon
I101677,C518156,Female,22,Books,5,75.75,"Credit Card",23-01-2021,"Cevahir AVM"
I101682,C201671,Female,46,Clothing,4,1200.32,Cash,07-12-2022,"Cevahir AVM"
I101684,C280909,Female,25,Souvenir,5,58.65,"Credit Card",28-08-2022,"Mall of Istanbul"
I101686,C520399,Female,30,Clothing,3,900.24,"Debit Card",03-12-2021,"Istinye Park"
I101691,C322262,Male,67,Souvenir,4,46.92,Cash,05-03-2021,"Mall of Istanbul"
I101700,C156564,Male,56,Cosmetics,2,81.32,"Credit Card",04-03-2022,"Istinye Park"
I101703,C113813,Female,65,Cosmetics,1,40.66,"Credit Card",01-11-2022,"Mall of Istanbul"
I101704,C568729,Female,22,Toys,3,107.52,"Credit Card",10-05-2021,Kanyon
I101708,C103055,Male,55,"Food & Beverage",1,5.23,Cash,25-05-2021,Metrocity
I101709,C800815,Female,20,Clothing,5,1500.40,"Debit Card",02-09-2021,"Mall of Istanbul"
I101711,C354279,Male,48,"Food & Beverage",3,15.69,"Credit Card",18-06-2021,"Metropol AVM"
I101714,C273113,Female,33,Books,3,45.45,Cash,11-10-2022,"Mall of Istanbul"
I101716,C254712,Female,19,Clothing,2,600.16,"Debit Card",04-11-2021,"Istinye Park"
I101717,C143132,Male,42,Cosmetics,5,203.30,Cash,03-12-2021,Kanyon
I101720,C105307,Male,67,Cosmetics,1,40.66,Cash,29-03-2022,Metrocity
I101724,C331264,Female,60,"Food & Beverage",5,26.15,Cash,16-03-2022,Metrocity
I101727,C145580,Male,67,Clothing,2,600.16,Cash,04-05-2022,"Cevahir AVM"
I101728,C183537,Female,48,Cosmetics,2,81.32,Cash,07-11-2021,"Mall of Istanbul"
I101730,C378627,Female,41,Toys,5,179.20,"Credit Card",19-12-2021,Kanyon
I101731,C125296,Female,41,Books,3,45.45,Cash,23-01-2023,"Mall of Istanbul"
I101734,C150574,Female,26,Shoes,2,1200.34,"Credit Card",08-09-2021,"Metropol AVM"
I101739,C152510,Male,49,Clothing,1,300.08,"Debit Card",04-02-2021,Kanyon
I101740,C136633,Male,22,Toys,1,35.84,"Debit Card",12-11-2021,"Istinye Park"
I101741,C319933,Male,68,Shoes,3,1800.51,"Credit Card",21-07-2021,"Mall of Istanbul"
I101742,C123907,Female,34,Toys,5,179.20,"Credit Card",17-01-2021,"Mall of Istanbul"
I101743,C158928,Male,48,Cosmetics,3,121.98,Cash,31-03-2022,Metrocity
I101745,C105559,Male,42,Shoes,5,3000.85,Cash,05-04-2021,"Cevahir AVM"
I101752,C116715,Female,45,Souvenir,4,46.92,Cash,16-05-2021,"Metropol AVM"
I101753,C336142,Female,29,Cosmetics,5,203.30,"Credit Card",25-04-2021,"Istinye Park"
I101754,C125307,Female,53,Clothing,4,1200.32,"Debit Card",24-09-2021,Kanyon
I101755,C333796,Female,53,Clothing,3,900.24,"Debit Card",19-02-2021,Metrocity
I101765,C280567,Male,41,Clothing,3,900.24,"Credit Card",07-08-2021,Kanyon
I101767,C181289,Female,30,"Food & Beverage",4,20.92,"Credit Card",22-10-2022,"Metropol AVM"
I101768,C249684,Female,56,Cosmetics,3,121.98,"Credit Card",24-01-2022,"Mall of Istanbul"
I101769,C306686,Male,61,"Food & Beverage",5,26.15,"Debit Card",18-04-2022,"Viaport Outlet"
I101775,C867251,Female,64,Clothing,2,600.16,"Credit Card",14-02-2023,"Mall of Istanbul"
I101779,C114592,Female,62,Books,3,45.45,"Debit Card",14-03-2022,"Mall of Istanbul"
I101782,C221270,Female,26,Cosmetics,5,203.30,"Credit Card",22-06-2021,"Mall of Istanbul"
I101785,C279161,Female,31,Shoes,5,3000.85,"Debit Card",13-07-2022,Kanyon
I101790,C310170,Female,68,Books,1,15.15,"Credit Card",06-09-2021,Kanyon
I101795,C207950,Male,39,Clothing,4,1200.32,"Debit Card",25-01-2023,Metrocity
I101799,C789602,Female,59,Technology,3,3150.00,"Credit Card",18-05-2022,"Viaport Outlet"
I101806,C322425,Female,42,Clothing,1,300.08,"Credit Card",05-01-2022,"Mall of Istanbul"
I101809,C148190,Female,21,Clothing,5,1500.40,Cash,10-11-2021,"Mall of Istanbul"
I101810,C259949,Female,69,Toys,4,143.36,"Credit Card",05-07-2021,"Emaar Square Mall"
I101819,C787263,Female,59,Toys,3,107.52,Cash,17-06-2022,"Metropol AVM"
I101820,C324317,Male,69,Clothing,1,300.08,Cash,14-08-2021,"Emaar Square Mall"
I101822,C178709,Female,53,"Food & Beverage",4,20.92,"Debit Card",04-07-2022,"Istinye Park"
I101823,C121785,Male,64,Clothing,4,1200.32,"Credit Card",22-06-2021,"Emaar Square Mall"
I101827,C150375,Female,27,Toys,3,107.52,Cash,11-11-2022,Kanyon
I101829,C207614,Female,52,Technology,2,2100.00,"Credit Card",25-11-2021,"Istinye Park"
I101832,C261194,Female,40,Cosmetics,3,121.98,"Credit Card",25-12-2022,Kanyon
I101834,C407525,Female,69,Toys,5,179.20,Cash,23-04-2021,"Istinye Park"
I101837,C288430,Female,33,Shoes,4,2400.68,"Credit Card",14-05-2022,Metrocity
I101840,C128251,Male,61,Clothing,3,900.24,"Credit Card",28-03-2022,Kanyon
I101842,C158131,Female,62,Shoes,1,600.17,"Credit Card",27-04-2021,"Metropol AVM"
I101843,C300621,Female,61,Clothing,5,1500.40,Cash,18-01-2023,Kanyon
I101852,C224985,Male,32,Clothing,2,600.16,"Debit Card",04-03-2023,"Mall of Istanbul"
I101854,C190002,Male,41,Shoes,1,600.17,Cash,14-10-2022,"Mall of Istanbul"
I101855,C120734,Female,25,Books,4,60.60,Cash,18-02-2023,"Forum Istanbul"
I101857,C227245,Female,34,Souvenir,2,23.46,Cash,29-04-2022,"Metropol AVM"
I101862,C352919,Female,24,Shoes,2,1200.34,"Credit Card",02-12-2022,"Viaport Outlet"
I101865,C248634,Female,47,Clothing,1,300.08,Cash,15-01-2023,"Mall of Istanbul"
I101869,C578801,Male,27,Technology,2,2100.00,Cash,25-01-2023,"Mall of Istanbul"
I101870,C350587,Female,68,Shoes,3,1800.51,Cash,24-03-2021,"Metropol AVM"
I101871,C233682,Female,26,Cosmetics,4,162.64,Cash,22-01-2023,Kanyon
I101873,C844870,Female,67,Clothing,2,600.16,"Credit Card",14-12-2021,"Emaar Square Mall"
I101879,C419320,Male,52,Cosmetics,2,81.32,"Credit Card",18-06-2021,Kanyon
I101882,C225381,Male,38,Clothing,4,1200.32,Cash,10-06-2022,"Zorlu Center"
I101885,C199456,Male,57,Books,4,60.60,"Credit Card",18-04-2021,"Forum Istanbul"
I101887,C169919,Male,32,Souvenir,4,46.92,Cash,16-08-2021,Metrocity
I101888,C216076,Male,69,Clothing,5,1500.40,Cash,22-02-2021,"Metropol AVM"
